VOC_Date	Ep01	Ep02	Ep03	Ep04	Ep05	Ep06	Ep07	Ep08	Ep09	Ep10	Ep11	Ep12
WT_44276	0.023345066	0.017539175	0.032204892	0.032291609	0.004217391	0.002274526	0.031443477	0.030650195	0.000692989	0.000246904	0.000512558	0.015016554
WT_44283	0.060412924	0.039832648	0.044871245	0.045021531	0.00134531	0.001753834	0.04486885	0.044284383	0.00058327	0.000378381	0.000685169	0.036430633
WT_44290	0.017980085	0.013391443	0.016820628	0.017457935	0.00316139	0.001249573	0.016942695	0.016219938	0.000507119	0.000254844	0.000614152	0.024493029
WT_44297	0.058610534	0.028954091	0.033075165	0.034720658	0.002542539	0.00300505	0.034418502	0.031978701	0.000611178	0.000216057	0.000791647	0.037066483
WT_44304	0.0096476	0.00889393	0.01071244	0.011385235	0.001525412	0.001529228	0.010319761	0.009366478	0.000681009	0.000143685	0.000541628	0.003464467
WT_44311	0.045470059	0.026332944	0.035879764	0.038063057	0.001295931	0.004415353	0.038084338	0.03537227	0.000387931	0.000275258	0.00083646	0.037075568
WT_44318	0.038326038	0.015986364	0.022717731	0.023922028	0.000730095	0.003357371	0.023379883	0.021696841	0.000583198	0.00023476	0.00111146	0.040132975
WT_44325	0.019163712	0.008215743	0.01213028	0.014218455	0.003720439	0.003840265	0.013749914	0.011240689	0.000561395	0.000336137	0.001014396	0.016867245
WT_44332	0.052054796	0.026690303	0.040684164	0.044651202	0.002408463	0.006582508	0.043811113	0.039628957	0.000441488	0.000803042	0.001343832	0.045341349
WT_44339	0.055178797	0.022308336	0.027213225	0.028841063	0.00203237	0.004303897	0.029191256	0.026475752	0.000224795	0.000402699	0.000805889	0.060738707
WT_44346	0.014344293	0.006559376	0.012751186	0.014483018	0.002654066	0.006472424	0.014006358	0.011818289	0.000182965	0.000324338	0.000963718	0.027960618
WT_44353	0.025999831	0.015628071	0.041075204	0.046265246	0.001810745	0.011516981	0.044696021	0.038588803	0.000509701	0.000177503	0.000810886	0.012549462
WT_44360	0.014811615	0.004576917	0.006935852	0.009245346	0.003138929	0.004571878	0.009063719	0.00592365	0.000567187	0.000114787	0.000453432	0.020016652
WT_44367	0.023481065	0.011194884	0.02060329	0.025390466	0.002094031	0.006794102	0.025306248	0.019600191	0.000457458	0.000303168	0.000816338	0.01480257
WT_44374	0.031999108	0.021039147	0.026993449	0.033159904	0.00299241	0.009071327	0.032097178	0.024693827	0.000553171	0.0004409	0.000948141	0.026896201
WT_44381	0.046064053	0.020501523	0.02653345	0.030230592	0.002014901	0.008550493	0.030264434	0.025734867	0.000364123	0.000342272	0.001007001	0.04581841
WT_44388	0.026842795	0.008681238	0.022649378	0.031233248	0.001602268	0.01228111	0.030338624	0.020518044	0.000359465	0.000424003	0.002359324	0.021836979
WT_44395	0.068057729	0.035695686	0.046566693	0.049205681	0.001270176	0.006580486	0.049601908	0.045158854	0.000329342	0.000143254	0.001098361	0.035502717
WT_44402	0.089773004	0.055826031	0.061738986	0.074600754	0.001323633	0.018580919	0.074732703	0.060493538	0.000676822	0.000226011	0.001053503	0.043160178
WT_44409	0.033769869	0.015366206	0.021985106	0.027323951	0.001700368	0.011385911	0.026840101	0.021542606	0.000885827	0.00015754	0.001341802	0.028296257
WT_44416	0.256961375	0.15344715	0.167749244	0.193874575	0.001092329	0.03502555	0.194360492	0.165996759	0.000786156	0.000244066	0.001344196	0.174310738
WT_44423	0.115478875	0.066765567	0.094959045	0.102706059	0.001349407	0.010357396	0.103451678	0.093385444	0.001061706	9.83E-05	0.000712456	0.066929922
WT_44430	0.238041651	0.152260599	0.446582426	0.461858349	0.000730812	0.018783864	0.46215735	0.444288358	0.000905954	0.000198127	0.000486109	0.186286974
WT_44437	0.413373139	0.247018385	0.553335909	0.581312648	0.00095672	0.03296254	0.58088673	0.549870165	0.000442774	0.000293916	0.000670917	0.33407076
WT_44444	0.004051007	0.002333064	0.012976727	0.022426425	0.00057544	0.011436814	0.021764137	0.01144565	0.000436372	0.001011181	0.001658562	0.007298035
WT_44451	0.03325006	0.014699333	0.036151283	0.037278961	0.002813914	0.003182683	0.033676711	0.031122649	0.000159237	0.000280563	0.001519745	0.031794829
WT_44458	0.07971435	0.036468126	0.08891612	0.104649863	0.003745948	0.021921173	0.103604224	0.086970892	0.000251685	0.000606267	0.001159074	0.066820964
XBB_44836	0	0	0	0	0	0	0	0	0	0	0	0
XBB_44843	0.003260216	0.013002347	0.006472157	0.010152596	0.00535355	0.004658173	0.008728658	0.012136049	0.008521619	0.00032661	0	0.004745434
XBB_44850	0.002710266	0.004193977	0.004025429	0.006529723	0.004415378	0.004435448	0.00767155	0.005238801	0.003613181	0.001206517	0.000412654	0.004190383
XBB_44857	0.005765452	0.006530489	0.00569947	0.009444784	0.007910164	0.008394121	0.013854482	0.008523031	0.00416791	0.000879907	0.000412654	0.006739974
XBB_44864	0.002265263	0.009629702	0.004819759	0.007133564	0.006533778	0.004552394	0.008518909	0.008213939	0.003870143	0	0.000390408	0.002391049
XBB_44871	0.002652154	0.009620076	0.0102583	0.015621815	0.002203616	0.002354433	0.00901263	0.008639241	0.007023959	0.000816083	0.000390408	0.003459853
XBB_44878	0.002028998	0.005797265	0.007397041	0.011833174	0.005533491	0.004222183	0.010590814	0.006218598	0.002596986	0.001026135	0	0.002442968
XBB_44885	0.001538487	0.007855356	0.016964435	0.019103729	0.007000596	0.006930671	0.008728679	0.009641675	0.005487694	0.000778072	0.000857303	0.002765199
XBB_44892	0.00028409	0.006563473	0.005021186	0.006451596	0.005439969	0.006424802	0.009179005	0.010104929	0.006676527	0.00149596	0.000857303	0.001214239
XBB_44899	0.001448587	0.002546772	0.033991886	0.036380976	0.003858074	0.004440485	0.006532844	0.012823695	0.01011467	0.000536135	9.60E-05	0.003235525
XBB_44906	0.001662573	0.0038926	0.022369348	0.025088258	0.004450429	0.004661489	0.00405819	0.008404936	0.004448199	0.000320401	9.60E-05	0.001029372
XBB_44913	0.001299289	0.006776131	0.056834447	0.060496546	0.003688818	0.003397062	0.006405411	0.005198623	0.002681137	0.000324292	0	0.001943263
XBB_44920	0.001541403	0.001797053	0.079075406	0.084561006	0.005509174	0.004906069	0.009080822	0.008628297	0.004488891	0.000581436	6.00E-05	0.002189248
XBB_44927	0.00187027	0.003028138	0.115217789	0.118929077	0.005113435	0.004369647	0.008066074	0.008694422	0.004836396	0.000601446	0.000269272	0.001318057
XBB_44934	0.001515867	0.003726261	0.089833505	0.092152926	0.00281155	0.002103229	0.003714594	0.007415447	0.004931641	0.00076646	0.000163596	0.002015855
XBB_44941	0.001316955	0.005946071	0.043712381	0.046789811	0.003437531	0.003921596	0.006121745	0.006180052	0.003380408	0.000919414	0.00011916	0.001375995
XBB_44948	0.001404338	0.002774318	0.061521076	0.062442921	0.000752788	0.000831224	0.002294332	0.002275583	0.001803416	0.000744118	0.000275414	0.001369417
XBB_44955	0.001115085	0.003163509	0.026965055	0.027657707	0.003614763	0.003866771	0.00565718	0.003555814	0.00071104	0.000490105	0.000107012	0.000960952
XBB_44962	0.001520843	0.002692647	0.016711115	0.018326502	0.003695052	0.003936132	0.007631491	0.003827171	0.001648104	0.000690146	0.000109623	0.000712009
XBB_44969	0.001220984	0.001740224	0.016904776	0.017931122	0.002852242	0.002954719	0.005426774	0.003583633	0.001560656	0.000696383	0.00012064	0.000803546
XBB_44976	0.001919339	0.002145557	0.004247442	0.006097194	0.003827484	0.003761593	0.006502284	0.004409331	0.001836856	0.000965071	8.35E-05	0.001043432
XBB_44983	0.001498518	0.001551651	0.008881798	0.008931837	0.001239776	0.001408936	0.001848242	0.0017706	0.000896205	0.000584345	7.47E-05	0.000825205
XBB_44990	0.001417011	0.002616919	0.006501898	0.006601897	0.00130679	0.001150303	0.002311413	0.002200292	0.001533134	0.000592798	8.19E-05	0.001328944
XBB_44997	0.001379512	0.000886806	0.006839903	0.008427914	0.00232215	0.001882893	0.004378839	0.003431352	0.00156387	0.000706629	0.000151371	0.000227629
XBB_45004	0.001349362	0.004632346	0.01319526	0.014715764	0.002119274	0.00233817	0.00282744	0.003205338	0.001405521	0.000909365	0.000205684	0.000459251
XBB_45011	0.001066161	0.004486031	0.015730262	0.018316087	0.002983058	0.002598981	0.006062759	0.003192629	0.001600788	0.001009822	0.000116375	0.000765184
XBB_45018	0.003035072	0.004372058	0.026630323	0.0286424	0.003983488	0.003658721	0.006758735	0.004348829	0.002252428	0.000586051	7.63E-05	0.003178828
XBB_45025	0.003574813	0.004471238	0.021179709	0.023197071	0.002602173	0.002497955	0.00596294	0.004298515	0.002839808	0.000933946	0.000204856	0.001642345
XBB_45032	0.003174736	0.004797635	0.022152728	0.025465177	0.003819108	0.003663691	0.007779441	0.005018295	0.002023922	0.000720452	0.000221697	0.00284889
XBB_45039	0.002510999	0.004789267	0.014401648	0.015832974	0.001502248	0.001408197	0.003175852	0.004342452	0.002818867	0.00149881	0.000299748	0.000837126
XBB_45046	0.003264656	0.005051383	0.023801973	0.026044489	0.002904813	0.002990613	0.005988623	0.0040729	0.00244211	0.000847429	0.000176911	0.002014184
XBB_45053	0.003389626	0.005427068	0.023259	0.024513338	0.001161071	0.000985671	0.002195495	0.002139641	0.001209446	0.000889582	0.000154925	0.000358129
XBB_45060	0.004876332	0.005964193	0.019574754	0.021630083	0.001507385	0.001554921	0.003829908	0.002917173	0.002148054	0.001229274	0.000255433	0.001317887
XBB_45067	0.004659683	0.005869537	0.032332398	0.03406075	0.00118333	0.001073256	0.002380531	0.003310098	0.002041078	0.001156302	0.000518123	0.000943675
XBB_45074	0.002934444	0.005239636	0.032498871	0.03571318	0.001984439	0.002207829	0.005245388	0.003350987	0.001819839	0.00088159	0.000329089	0.001009238
XBB_45081	0.004236897	0.00511995	0.013699834	0.01455789	0.001438146	0.001848162	0.002903725	0.003409552	0.002533446	0.001108363	0.000262741	0.001045056
XBB_45088	0.00250369	0.003161335	0.023735146	0.027491685	0.003372495	0.00346547	0.007342578	0.004496729	0.00370602	0.001363266	0.00022554	0.001809053
XBB_45095	0.010183141	0.009899732	0.020821352	0.024454241	0.003700262	0.003789398	0.008182251	0.007534232	0.005425337	0.001145985	0.000653298	0.001550325
XBB_45102	0.005709047	0.006871318	0.01706499	0.02038475	0.003134058	0.002943047	0.005922512	0.007411096	0.005299882	0.000901336	0.00039261	0.001254581
XBB_45109	0.011812867	0.013299247	0.023495628	0.028720598	0.003459471	0.003509938	0.007256326	0.005768972	0.00452306	0.001120443	0.000302466	0.002118938
XBB_45116	0.009609223	0.011566912	0.020743465	0.024591699	0.002172754	0.002441032	0.00555089	0.005353505	0.004916235	0.00069042	0.000626014	0.001593523
XBB_45123	0.01404197	0.014383777	0.020630569	0.020764278	0.003429293	0.003471127	0.005556104	0.002810791	0.001492372	0.000591575	0.00030721	0.00214773
XBB_45130	0.013085277	0.015089598	0.021073113	0.024552181	0.003309459	0.003395617	0.006913742	0.004440203	0.002168136	0.001025121	0.000214191	0.001302041
XBB_45137	0.014302559	0.0145266	0.015366104	0.017385674	0.001937671	0.002258905	0.004364066	0.004278639	0.001776935	0.00091801	8.58E-05	0.001584175
XBB_45144	0.012722036	0.014791604	0.027230771	0.028278223	0.001611166	0.001776307	0.00346853	0.002968444	0.001102328	0.001143112	0.000262087	0.001048269
XBB_45151	0.013689509	0.013642046	0.023634409	0.024070508	0.00201196	0.001514704	0.004259978	0.00387107	0.001984438	0.000758242	0.000316499	0.001165482
XBB_45158	0.012834983	0.014766759	0.023382672	0.027261637	0.00225141	0.002204291	0.005533738	0.006460772	0.002432891	0.000552705	0.000225666	0.002320984
XBB_45165	0.014925087	0.016882238	0.019450877	0.022280587	0.002238224	0.002008605	0.004592507	0.005276418	0.001810628	0.000450681	0.000291672	0.001748078
XBB_45172	0.012790883	0.012226181	0.01723415	0.018826809	0.002192593	0.001675389	0.004295162	0.005261323	0.002316122	0.000646629	0.000242425	0.000980181
