VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	NTD	RBD	SpikeOther	Ep01	Ep02	Ep03	Ep04	Ep05	Ep06	Ep07	Ep08	Ep09	Ep10	Ep11	Ep12	RBDOther	PressureCorrelation
BA.1	2022-05-08	43862.1278590941	0.998933307588782	0.420864332715048	0.0414736982761263	0.315232262875943	0.0641583715629789	0.0168137681779906	0.0242002536372733	0.0111610662084034	0.0133177926013827	0.0153814119631997	0.00990136088222902	0.0279588055058782	0.224014377797874	0.210836704910552	0.000541850680672268	0.0016734392487395	0.00294434093359034	0.0360527509728475	0
BA.1	2022-05-15	43806.1033071563	0.99924792436393	0.324504869871455	0.0358244198534335	0.241634008750957	0.0470464412670651	0.0164011500850191	0.0247234762506686	0.010450358794579	0.0175396729764936	0.0137449623225761	0.00344010887983205	0.0225445792438715	0.16379394605758	0.149399760902914	0.00044400570470756	0.000742757981455064	0.00356689907408649	0.0352984462923185	0
BA.2	2021-12-19	8382.65277245432	0.00012088124044084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BA.2	2021-12-26	48448.2283755196	0.000539977453772776	0.413450119470815	0.133687423803597	0.230494908046371	0.0492677876208475	0.00629068689782605	0.0376380015148734	0.00357021376304338	0.00870850946521727	0.0284811187959022	0.00703029737383459	0.0612459343920547	0.053028989690491	0.0268473374641539	0	0	0.0357462368257428	0.101398847164419	0.332849174454689
BA.2	2022-01-02	250633.11455676	0.00270805238175926	1.0976882377834	0.348918759095278	0.633456255320988	0.115313223367134	0.00195882243468072	0.0811767138993859	0.00271959364381953	0.0036008313292324	0.0806247633382855	0.0365905408710726	0.180359174961546	0.147781333107075	0.0740372910107345	0	0	0.0852551407787064	0.296358372220265	0.231904615625321
BA.2	2022-01-09	706526.720527896	0.00881978614622216	1.37894458361734	0.430969930961454	0.805760176877862	0.142214475778022	0.00890362112023825	0.107342074881768	0.00902588352976176	0.0169931548240475	0.0985214916447534	0.054012930097458	0.234875296233069	0.182881551023182	0.0906573403224768	3.4859415E-05	4.86787538095238E-05	0.107003438290101	0.364843455115786	0.267320933371066
BA.2	2022-01-16	1117159.69464149	0.0184836564962861	1.4921381133143	0.495239970769473	0.832301860851889	0.164596281692941	0.00811313125150398	0.115604392568939	0.00636823687316173	0.0114121651198193	0.106371279920815	0.0172464681267674	0.212602580121904	0.197941102736629	0.0992082019787478	7.65698308823531E-05	0	0.115019275617235	0.400870829662244	0.279667473403898
BA.2	2022-01-23	1926254.90510125	0.0351465183533342	1.51326065556144	0.519673107627902	0.836135749979439	0.157451797954102	0.00387313192080866	0.114095486278377	0.00176361169700227	0.00449809957142876	0.106076562427551	0.00362229217214974	0.203240826971549	0.206285483757831	0.103078262696357	0.000110471447807831	0	0.112066137855372	0.414165704644814	0.268635806950476
BA.2	2022-01-30	2498711.2793521	0.0567613527961845	1.5325650615814	0.528117428569996	0.848795397410239	0.155652235601162	0.00190054045983616	0.116135739582963	0.00131304955853698	0.00235681220996409	0.106035185717425	0.00581182731159465	0.208293284954017	0.20932981534819	0.10468510333526	2.83326191249359E-05	3.19795581097248E-05	0.111910232982553	0.418533322816242	0.264674937139155
BA.2	2022-02-06	3355478.18803692	0.0857875576684096	1.56248380083657	0.534534039309647	0.871032279687103	0.156917481839819	0.00583521170401509	0.125122520427706	0.00439920995713962	0.00800787384647725	0.109293495785919	0.00625128905121828	0.21528421472182	0.212059237805693	0.106072661972545	0.000128473267614202	1.73728676584449E-05	0.118789254878817	0.422003819641296	0.282346384196999
BA.2	2022-02-13	3739522.34936964	0.118135895447524	1.59192532099964	0.538354281750978	0.897363550787628	0.156207488461034	0.0132079972630101	0.13634278213164	0.0111696661300569	0.0194226302709309	0.113374451806256	0.00934073729215577	0.225849609744933	0.212566669286883	0.106388253781197	0.000120542064049059	0	0.129922508644544	0.422620588299349	0.311979490258343
BA.2	2022-02-20	4756414.18209908	0.15928074717059	1.55871289820233	0.539863338593381	0.863559121757672	0.155290437851271	0.0031520227162515	0.121107219590362	0.00235617126246168	0.00472299696583964	0.107840760162705	0.00163399324016982	0.209728266728125	0.213519871708176	0.106948556903799	0.000117843923367375	2.65472878791718E-05	0.115114637795653	0.424025861437086	0.274571509478339
