VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
XBB	25	2023-07-09	41	4	4330	162.880522306855	176318.165397171	0.885499308910394	-0.185252663085915	0.0407591139824642	-0.0734720417468195	-0.0036921341944066	0.725016733580486	-0.550503694211436	GA7
XBB	25	2023-07-16	42	10	4774	419.733597098582	200380.819254863	0.912291499069561	-0.200306554114804	0.0360284280936455	-0.0776417067524868	-0.00439569659563	0.735473766839631	-0.669941643774404	GA7
XBB	25	2023-07-23	43	15	4944	747.298527702441	246309.594730725	0.930691519496437	-0.22424915618616	0.025043355515225	-0.0751992508614327	-0.006011943366834	0.748339678377281	-0.750682510615717	GA7
XBB	25	2023-07-30	44	6	5965	412.800647773279	410392.643994602	0.956779362275328	-0.254030908281027	0.0139222910735222	-0.0770549646351611	-0.0084201288229791	0.769733076635653	-0.695171928752709	GA7
XBB	25	2023-08-06	45	9	6938	482.411602209945	371885.744014733	0.985855110996689	-0.26677857166518	0.0151619404059307	-0.0848388183420464	-0.0091625695198429	0.789124787129616	-0.746922657144056	GA7
XBB	25	2023-08-13	46	10	7518	483.874428345514	363776.795230157	1.01218501318659	-0.279254019857514	0.0080765143464398	-0.0878685251607264	-0.0097829123436495	0.808094286384062	-0.764391332893348	GA8
XBB	25	2023-08-20	47	5	8329	153.40008513273	255533.861814101	1.02325783438069	-0.288899213716504	-0.00851091912647	-0.0855761979374416	-0.0109876708377481	0.821409639173909	-0.74683016322002	GA8
XBB	25	2023-08-27	48	5	10175	158.783116513152	323123.642104264	1.0431129900077	-0.315955814660671	-0.0113732809430258	-0.0922482472753339	-0.0148085684102233	0.838245126051891	-0.816007229759876	GA8
XBB	25	2023-09-03	49	6	10364	178.664004457652	308612.290366518	1.06714719853058	-0.329074711493914	-0.0127512054001929	-0.0911226001233406	-0.0159832541493308	0.854325944725539	0	GA8
XBB	25	2023-09-10	50	5	11297	103.468849749202	233777.519123347	1.09086499942648	-0.358270072187925	-0.0054963723234825	-0.101584818777438	-0.0198194368738567	0.86650569839245	0	GA8
XBB	25	2023-09-17	51	1	11083	15.0535947712418	166838.990849673	1.07996392495211	-0.383251602400823	0.0048791050162392	-0.111456622870758	-0.024691350841466	0.875194908991709	0	GA8
XBB	25	2023-09-24	52	2	11583	23.9884521430158	138929.120586276	1.08296457367712	-0.412655597243382	0.018112214069918	-0.116473456360386	-0.0282908467535642	0.882431130516197	0	GA8
XBB	25	2023-10-01	53	2	10207	29.3023546311911	149544.566860284	1.11709841898902	-0.444424607048984	0.0441629934371636	-0.118408048136679	-0.0336863193968817	0.89022044634658	0	GA8
XBB	25	2023-10-08	54	1	9744	15.4300887248235	150350.78453468	1.11850893364081	-0.476026456272172	0.057455105182145	-0.123000045344967	-0.0396604373112809	0.898051024923363	0	GA8
XBB	26	2022-11-20	8	1	1079	77.0282553926145	83113.487568631	0.980375377025731	0.181705638551658	0.714731481481481	0.402756851767755	0.0199329870584535	0.0216924820124356	1	GA0
XBB	26	2022-12-11	11	1	2584	88.0624179707219	227553.288036345	1.04872496144858	0.136019517722469	0.647752417794971	0.430570824365984	0.0186443682798227	0.0483420084336463	1	GA0
XBB	26	2022-12-18	12	2	2719	185.514317125581	252206.714132227	0.969420967704962	0.148405082495847	0.568478500551268	0.405853716418377	0.0182626370104632	0.0614857667040256	1	GA0
XBB	26	2022-12-25	13	2	2678	192.487807503903	257741.174247726	0.829133480366583	0.13653535407927	0.472865671641791	0.367033301647476	0.0142414909241382	0.0749181046356508	0.630506858412831	GA0
XBB	26	2023-01-01	14	7	2988	691.212101910828	295048.822929936	0.665187944578013	0.145561818607395	0.332641068447412	0.345872840277302	0.0109604640758624	0.0903192742961189	0.338310350170204	GA0
XBB	26	2023-01-08	15	17	3770	1524.21041679803	338016.074784034	0.531996571100546	0.154047012753569	0.222379191972537	0.30958646368037	0.0088674891728638	0.1080014171226	0.20935510758593	GA1
