VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	SpikeCellEntryT1	RBDACE2bindingT1	EscapeScoreT1	AntigenicDistanceTn-1	SpikeCellEntryTn-1	RBDACE2bindingTn-1	EscapeScoreTn-1
Delta	2021-11-14	3503193.92064029	0.713780976042948	0.536971618395283	0.03549258424596	-0.000568713813150116	0.000889832679314768	0.068753852869956	0.00455092540179507	0.000253297966720229	0.000118084622032832
Delta	2021-11-21	3789547.05781276	0.749249206390414	0.542549209772594	0.0371324524174389	-0.000472464630697595	0.000990315723890742	0.0377055346230507	0.00163986817147892	9.62491824525187E-05	0.000100483044575975
Delta	2021-11-28	4040695.234043	0.787068055751177	0.54399136629664	0.0429823137296202	0.000379290021957057	0.000602908733110299	0.0508806687710955	0.00584986131218133	0.000851754652654653	-0.000387406990780444
Delta	2021-12-05	4169583.53461844	0.826093233959203	0.546599041508108	0.0370355941251053	0.00055483332519909	0.00109040550568811	0.0382373992819205	-0.00594671960451495	0.000175543303242032	0.000487496772577811
Delta	2021-12-12	4245572.31562266	0.865829628454391	0.558481801033158	0.0381956071769835	9.48932766551182E-05	0.00133862975701401	0.0411375229761528	0.00116001305187821	-0.000459940048543966	0.000248224251325898
Delta	2021-12-19	4059374.9886291	0.903823310804001	0.555172443476686	0.0259953592590308	-3.58145372248017E-05	0.0014618683521048	0.0697711041160148	-0.0122002479179526	-0.000130707813879923	0.000123238595090789
Delta	2021-12-26	3525661.83667504	0.936821709885139	0.542191454950361	0.0176778088609691	-0.00289265782519057	0.0020630425057033	0.0805815605120013	-0.00831755039806175	-0.00285684328796577	0.000601174153598498
Delta	2022-01-02	2881766.92408057	0.963793580536612	0.543649912716107	0.0217360328099097	-0.00327323917749317	0.00251417162639234	0.0754299826309082	0.00405822394894056	-0.000380581352302599	0.000451129120689043
Delta	2022-01-09	2018984.21423234	0.982690244461303	0.578319711214543	0.0282557916365557	-0.00543162590108632	0.00241020053728033	0.103105745891872	0.00651975882664604	-0.00215838672359315	-0.000103971089112008
Delta	2022-01-16	967993.485413788	0.991750170460828	0.57773213121935	0.0561617765133933	-0.00853623414943836	0.00286198675553302	0.122658818505538	0.0279059848768376	-0.00310460824835204	0.000451786218252691
