VOC	Date	InfectionProportion	HaploMax_AntigenicDistanceABS	HaploMax_ChangeACE2binding	HaploMax_ChangeCellEntry	HaploMax_ChangeImmuneEscape	AdvHaploMax_AntigenicDistanceABS	AdvHaploMax_ChangeACE2binding	AdvHaploMax_ChangeCellEntry	AdvHaploMax_ChangeImmuneEscape
Alpha	2021-07-04	0.97957974372791	1.292399137399	0.471953255425709	0.975083639398998	0.347851018497496	0	0	0	0
Alpha	2021-07-11	0.985466990992442	1.292399137399	0.38195325542571	0.915483639398999	0.347851018497496	0	0	0	0
Alpha	2021-07-18	0.990093034428592	1.292399137399	0.38195325542571	0.975083639398998	0.347851018497496	0	0	0	0
Alpha	2021-07-25	0.993216078878003	1.292399137399	0.68195325542571	0.915483639398999	0.347851018497496	0	0	0	0
Alpha	2021-08-01	0.995514373395229	1.292399137399	0.38195325542571	0.975083639398998	0.347851018497496	0	0	0	0
Alpha	2021-08-08	0.996644936139659	1.292399137399	0.40195325542571	0.668783639398999	0.347851018497496	0	0	0	0
Alpha	2021-08-15	0.998618148165963	0.672551404928214	0.28195325542571	0.731683639398998	0.333814023497496	0	0	0	0
Alpha	2021-08-22	0.999093303068541	1.292399137399	0.28195325542571	0.639183639398999	0.347851018497496	0	0	0	0
Delta	2021-03-14	0.000708762438849284	1.01790577414464	0.276084788029925	0.690617456359102	0.076297781127182	0	0	0	0
Delta	2021-03-21	0.000765023119240297	1.17356559417207	0.00608478802992519	0.704617456359102	0.00198519612718205	0	0	0	0
Delta	2021-03-28	0.000814650960121578	1.37564390427681	0.00608478802992519	0.256517456359102	0	0	0	0	0
Delta	2021-04-04	0.000932820865548674	1.32404881048629	0.276084788029925	0.433717456359102	0.130001205127182	0	0	0	0
Delta	2021-04-11	0.00127999995949561	1.85149026621446	0.00608478802992519	0.507717456359102	0.130001205127182	0	0	0	0
Delta	2021-04-18	0.00192512099958093	1.32404881048629	0.166084788029925	0.535217456359102	0.076297781127182	0	0	0	0
Delta	2021-04-25	0.0031753498133228	1.41673308345636	0.276084788029925	0.881417456359102	0.130001205127182	0	0	0	0
Delta	2021-05-02	0.00482554946501859	1.33069269377556	0.196084788029925	0.671317456359102	0.134640631127182	0	0	0	0
Delta	2021-05-09	0.00757293248361691	2.84711104521446	1.05608478802992	0.874317456359102	0.333393327127182	0	0	0	0
Delta	2021-05-16	0.0105971715978155	1.16403279361596	0.246084788029925	0.690617456359102	0.130001205127182	0	0	0	0
Delta	2021-05-23	0.0154084149774878	3.51217830161097	1.05608478802992	1.1110174563591	0.130001205127182	0	0	0	0
