VOC	Date	TotalHaploCount	InfectionProportion	AntigenicDistanceABS	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	Type
Alpha	2021-08-08	1	0.996644936	1.292399137	0.401953255	0.668783639	0.347851018	All
Alpha	2021-08-15	1	0.998618148	0.672551405	0.281953255	0.731683639	0.333814023	All
Alpha	2021-08-22	1	0.999093303	1.292399137	0.281953255	0.639183639	0.347851018	All
Delta	2021-03-14	1	0.000708762	1.021606511	0.276758105	0.695081394	0.076489449	All
Delta	2021-03-21	1	0.000765023	1.173565594	0.006084788	0.704617456	0.001985196	All
Delta	2021-03-28	1	0.000814651	1.375643904	0.006084788	0.271737466	0	All
Delta	2021-04-04	1	0.000932821	1.32404881	0.276084788	0.433717456	0.130001205	All
Delta	2021-04-11	1	0.00128	1.851490266	0.006084788	0.507717456	0.130001205	All
Delta	2021-04-18	1	0.001925121	1.32404881	0.166084788	0.535217456	0.076297781	All
Delta	2021-04-25	1	0.00317535	1.416733083	0.276084788	0.881417456	0.130001205	All
Delta	2021-05-02	1	0.004825549	1.330692694	0.196084788	0.671317456	0.134640631	All
Delta	2021-05-09	1	0.007572932	2.847111045	1.056084788	0.874317456	0.333393327	All
Delta	2021-05-16	1	0.010597172	1.164032794	0.247281796	0.690617456	0.130001205	All
Delta	2021-05-23	1	0.015408415	3.512178302	1.056084788	1.111017456	0.130001205	All
Delta	2021-05-30	1	0.023153163	1.351375021	1.056084788	1.085817456	0.134640631	All
Delta	2021-06-06	1	0.032392352	1.351375021	1.056084788	0.808517456	0.333393327	All
Delta	2021-06-13	1	0.042081863	1.494886032	1.056084788	1.085817456	0.333393327	All
Delta	2021-06-20	1	0.052798323	2.033492945	1.186084788	1.368117456	0.3433299	All
Delta	2021-06-27	1	0.068041512	3.267329839	1.186084788	1.111017456	0.3433299	All
Delta	2021-07-04	1	0.087646876	1.755041659	1.186084788	1.368117456	0.3433299	All
Delta	2021-07-11	1	0.111599891	3.619859537	1.336084788	1.368117456	0.333393327	All
Delta	2021-07-18	1	0.13893393	3.505296663	1.186084788	1.368117456	0.3433299	All
Delta	2021-07-25	1	0.171144366	3.112382084	1.186084788	1.368117456	0.3433299	All
Delta	2021-08-01	1	0.206847934	1.564222567	1.186084788	1.368117456	0.3433299	All
Delta	2021-08-08	1	0.244038357	3.267329839	1.186084788	1.667717456	0.3433299	All
Delta	2021-08-15	1	0.283753123	1.564222567	1.056084788	1.860617456	0.333393327	All
Delta	2021-08-22	1	0.323999739	1.851490266	1.146084788	1.860617456	0.333393327	All
Delta	2021-08-29	1	0.365476009	1.609891388	1.146084788	1.860617456	0.333393327	All
Delta	2021-09-05	1	0.405069965	2.030253947	1.056084788	1.860617456	0.333393327	All
Delta	2021-09-12	1	0.442062513	1.67537009	1.056084788	1.860617456	0.333393327	All
Delta	2021-09-19	1	0.476441458	1.67537009	1.056084788	1.860617456	0.333393327	All
Delta	2021-09-26	1	0.508350769	1.67537009	1.056084788	1.422517456	0.333393327	All
Delta	2021-10-03	1	0.538053734	1.67537009	1.056084788	1.860617456	0.333393327	All
Delta	2021-10-10	1	0.565892129	1.712438939	1.146084788	2.108517456	0.333393327	All
Delta	2021-10-17	1	0.593410933	2.02574513	1.146084788	2.108517456	0.333393327	All
Delta	2021-10-24	1	0.621494092	2.02574513	1.056084788	2.108517456	0.333393327	All
Delta	2021-10-31	1	0.650504522	2.098459393	1.056084788	1.422517456	0.333393327	All
Delta	2021-11-07	1	0.680992865	2.098459393	1.146084788	2.108517456	0.333393327	All
Delta	2021-11-14	1	0.713780976	2.200164596	1.146084788	2.108517456	0.333393327	All
Delta	2021-11-21	1	0.749249206	2.200164596	1.146084788	2.108517456	0.333393327	All
Delta	2021-11-28	1	0.787068056	2.200164596	1.056084788	2.108517456	0.333393327	All
Delta	2021-12-05	1	0.826093234	2.200164596	1.146084788	2.108517456	0.333393327	All
Delta	2021-12-12	1	0.865829628	2.200164596	1.056084788	2.108517456	0.333393327	All
Delta	2021-12-19	1	0.903823311	2.200164596	1.146084788	2.108517456	0.333393327	All
Delta	2021-12-26	1	0.93682171	2.098459393	1.056084788	2.108517456	0.333393327	All
Delta	2022-01-02	1	0.963793581	3.14006417	1.056084788	2.108517456	0.333393327	All
Delta	2022-01-09	1	0.982690244	2.030253947	1.056084788	1.041817456	0.333393327	All
Delta	2022-01-16	1	0.99175017	2.200164596	1.056084788	0.911217456	0.333393327	All
Delta	2022-01-23	1	0.995906592	1.511944068	0.866084788	0.911517456	0.333393327	All
Delta	2022-01-30	1	0.997957072	1.365016087	0.866084788	0.819417456	0.333393327	All
Delta	2022-02-06	1	0.998915809	1.300957712	0.866084788	0.806417456	0.333393327	All
BA.1	2021-11-28	1	0.000257359	1.338489345	0.161267792	0.281816667	0.017539193	All
BA.1	2021-12-05	1	0.000508679	4.678405599	0.417404372	0.655270765	0.082723024	All
BA.1	2021-12-12	1	0.001761116	4.33276077	0.417404372	0.281816667	0.106825196	All
BA.1	2021-12-19	1	0.00859454	4.33276077	0.417404372	0.392170765	0.106825196	All
BA.1	2021-12-26	1	0.033567238	4.33276077	0.597404372	0.406370765	0.106825196	All
BA.1	2022-01-02	1	0.090019569	4.678405599	0.597404372	0.655270765	0.106825196	All
BA.1	2022-01-09	1	0.184119982	4.678405599	0.907404372	0.655270765	0.106825196	All
BA.1	2022-01-16	1	0.31430033	4.040474135	0.907404372	0.662470765	0.268723206	All
