VOC	Date	InfectionProportion	HaploMid_AntigenicDistanceABS	HaploMid_ChangeACE2binding	HaploMid_ChangeCellEntry	HaploMid_ChangeImmuneEscape
Alpha	2021-02-28	0.23699623002629	0.257848546928214	0.0019532554257095	0.0301836393989984	-0.0001402585025041
Alpha	2021-03-07	0.26575874398355	0.257848546928214	0.0019532554257095	0.0227836393989984	-0.0001402585025041
Alpha	2021-03-14	0.299585412608674	0.262213331928214	0.0019532554257095	0.0143836393989984	-0.0001402585025041
Alpha	2021-03-21	0.339490225269342	0.263987279928214	0.0019532554257095	0.0144836393989984	-0.0001402585025041
Alpha	2021-03-28	0.38490902806519	0.263572663928214	0.0019532554257095	0.0100836393989984	-0.0001402585025041
Alpha	2021-04-04	0.434398834933946	0.264133664928214	0.0019532554257095	0.0125836393989984	-0.0001402585025041
Alpha	2021-04-11	0.48968683963499	0.263572663928214	0.0019532554257095	0.0125836393989984	-0.0001402585025041
Alpha	2021-04-18	0.553729667813975	0.262213331928214	0.0019532554257095	0.0227836393989984	-0.0001402585025041
Alpha	2021-04-25	0.623139986518016	0.265029836928214	0.0019532554257095	0.0330288814691152	-0.0001402585025041
Alpha	2021-05-02	0.693154341670314	0.263572663928214	0.0019532554257095	0.0227836393989984	-0.0001402585025041
Alpha	2021-05-09	0.758514450859424	0.264237862928214	0.0019532554257095	0.0301836393989984	-0.0001402585025041
Alpha	2021-05-16	0.817988594948361	0.263987279928214	0.0019532554257095	0.0226836393989984	-0.0001402585025041
Alpha	2021-05-23	0.865808138048605	0.264133664928214	0.0019532554257095	0.0227836393989984	-0.0001402585025041
Alpha	2021-05-30	0.901282248537643	0.267208995928214	0.0019532554257095	0.0227836393989984	-0.0001402585025041
Alpha	2021-06-06	0.926524642878857	0.265029836928214	0.0019532554257095	0.0258836393989984	-0.0001402585025041
Alpha	2021-06-13	0.94631877122949	0.269408653928214	0.0019532554257095	0.0258836393989984	-0.0001402585025041
Alpha	2021-06-20	0.962099040937448	0.270633966602671	0.0019532554257095	0.0323836393989984	-0.0001402585025041
Alpha	2021-06-27	0.972412737601316	0.270594879928214	0.0019532554257095	0.0233836393989984	-0.0001402585025041
Alpha	2021-07-04	0.97957974372791	0.272489854928214	0.0019532554257095	0.0258836393989984	-0.0001402585025041
Alpha	2021-07-11	0.985466990992442	0.272748055928214	0.0019532554257095	0.0233836393989984	-0.0001402585025041
Alpha	2021-07-18	0.990093034428592	0.275990191260434	0.0019532554257095	0.0273836393989984	-0.0001402585025041
Alpha	2021-07-25	0.993216078878003	0.287180578928214	0.0019532554257095	0.0272836393989984	-0.0001402585025041
Alpha	2021-08-01	0.995514373395229	0.267208995928214	0.0019532554257095	-0.0083163606010016	-0.0001402585025041
Alpha	2021-08-08	0.996644936139659	0.281257473928214	0.0019532554257095	0.0233836393989984	-0.0001402585025041
Alpha	2021-08-15	0.998618148165963	0.277014603928214	0.0019532554257095	0.0233836393989984	-0.0001402585025041
Alpha	2021-08-22	0.999093303068541	0.275990191260434	0.0019532554257095	0.0398836393989984	-0.0001402585025041
Delta	2021-03-14	0.0007087624388492	0.596091177919358	0.0060847880299251	-0.0292055821983505	-0.0005609548728179
Delta	2021-03-21	0.0007650231192402	0.709033388331834	0.0060847880299251	-0.0779825436408978	-0.0005609548728179
Delta	2021-03-28	0.0008146509601215	0.617484614134663	0.0060847880299251	-0.0782825436408978	-0.0005609548728179
Delta	2021-04-04	0.0009328208655486	0.698485350543642	0.0060847880299251	-0.0782825436408978	-0.0005609548728179
Delta	2021-04-11	0.0012799999594956	0.766200222543642	0.0060847880299251	-0.0782825436408978	-0.0005609548728179
Delta	2021-04-18	0.0019251209995809	0.749237715316709	0.0060847880299251	-0.0761825436408978	-0.0005609548728179
Delta	2021-04-25	0.0031753498133228	0.758927038543642	0.0060847880299251	-0.0671825436408978	-0.0005609548728179
Delta	2021-05-02	0.0048255494650185	0.778726119907732	0.0060847880299251	-0.0446825436408979	-0.0005609548728179
Delta	2021-05-09	0.0075729324836169	0.80359613024717	0.0060847880299251	-0.0446825436408978	-0.0005609548728179
Delta	2021-05-16	0.0105971715978155	0.75937130494015	0.0060847880299251	-0.0446825436408978	-0.0005609548728179
Delta	2021-05-23	0.0154084149774878	0.771543396379053	0.0060847880299251	-0.0366825436408979	-0.0005609548728179
Delta	2021-05-30	0.0231531633858684	0.78564873694015	0.0060847880299251	-0.0108825436408979	-0.0005609548728179
Delta	2021-06-06	0.032392351618067	0.778181728543642	0.0060847880299251	-0.021882543640898	-0.0005609548728179
Delta	2021-06-13	0.0420818633218507	0.78769012594015	0.0060847880299251	-0.0417825436408979	-0.0005609548728179
Delta	2021-06-20	0.0527983234498841	0.79579838494015	0.0060847880299251	-0.0446825436408978	-0.0005609548728179
Delta	2021-06-27	0.0680415121777466	0.778726119907732	0.0060847880299251	-0.0441810732662017	-0.0005609548728179
Delta	2021-07-04	0.0876468759394746	0.77948167494015	0.0060847880299251	-0.0271556795511223	-0.0005609548728179
Delta	2021-07-11	0.11159989087346	0.78389668494015	0.0060847880299251	-0.0218825436408979	-0.0005609548728179
Delta	2021-07-18	0.138933930325116	0.779610323543642	0.0060847880299251	-0.033582543640898	-0.0005609548728179
Delta	2021-07-25	0.171144366241067	0.779081132543642	0.0060847880299251	-0.0272825436408979	-0.0005609548728179
Delta	2021-08-01	0.206847933608368	0.778181728543642	0.0060847880299251	-0.0272825436408979	-0.0005609548728179
Delta	2021-08-08	0.244038357419119	0.77948167494015	0.0060847880299251	-0.0408825436408979	-0.0005609548728179
Delta	2021-08-15	0.283753123445761	0.78111512994015	0.0060847880299251	-0.0272825436408979	-0.0005609548728179
Delta	2021-08-22	0.323999739155284	0.778490892543642	0.0060847880299251	-0.021882543640898	-0.0005609548728179
Delta	2021-08-29	0.365476009058697	0.778490892543642	0.0060847880299251	-0.0271556795511223	-0.0005609548728179
Delta	2021-09-05	0.405069965431427	0.782244050369136	0.0060847880299251	-0.0366825436408979	-0.0005609548728179
Delta	2021-09-12	0.442062512962426	0.778726119907732	0.0060847880299251	-0.0313825436408978	-0.0005609548728179
Delta	2021-09-19	0.476441458223097	0.78070304194015	0.0060847880299251	-0.029782543640898	-0.0005609548728179
Delta	2021-09-26	0.508350768925747	0.78194182403242	0.0060847880299251	-0.024582543640898	-0.0005609548728179
Delta	2021-10-03	0.538053733672049	0.779610323543642	0.0060847880299251	-0.021882543640898	-0.0005609548728179
Delta	2021-10-10	0.565892129473635	0.782244050369136	0.0060847880299251	-0.0272825436408979	-0.0005609548728179
Delta	2021-10-17	0.593410932596214	0.78564873694015	0.0060847880299251	-0.021882543640898	-0.0005609548728179
Delta	2021-10-24	0.621494091547679	0.782060537076877	0.0060847880299251	-0.021882543640898	-0.0005609548728179
Delta	2021-10-31	0.650504521937149	0.788733072316708	0.0060847880299251	-0.0222700390982345	-0.0005609548728179
Delta	2021-11-07	0.680992865212409	0.78564873694015	0.0060847880299251	-0.033582543640898	-0.0005609548728179
Delta	2021-11-14	0.713780976042948	0.792696218543642	0.0060847880299251	-0.0218825436408979	-0.0005609548728179
Delta	2021-11-21	0.749249206390414	0.782244050369136	0.0060847880299251	-0.0292055821983505	-0.0005609548728179
Delta	2021-11-28	0.787068055751177	0.78322097994015	0.0060847880299251	-0.0272825436408979	-0.0005609548728179
Delta	2021-12-05	0.826093233959203	0.789384416543642	0.0060847880299251	-0.0271556795511223	-0.0005609548728179
Delta	2021-12-12	0.865829628454391	0.790025099543642	0.0060847880299251	-0.0271556795511223	-0.0005609548728179
Delta	2021-12-19	0.903823310804001	0.78614441694015	0.0060847880299251	-0.0218825436408979	-0.0005609548728179
Delta	2021-12-26	0.936821709885139	0.789384416543642	0.0060847880299251	-0.0238825436408979	-0.0005609548728179
Delta	2022-01-02	0.963793580536612	0.797384425379053	0.0060847880299251	-0.0218825436408979	-0.0005609548728179
Delta	2022-01-09	0.982690244461303	0.799648290543642	0.0060847880299251	-0.0130825436408979	-0.0005609548728179
Delta	2022-01-16	0.991750170460828	0.806208418109726	0.0060847880299251	-0.0151825436408979	-0.0005609548728179
Delta	2022-01-23	0.995906592074102	0.799358960543642	0.0060847880299251	-0.0200825436408979	-0.0005609548728179
Delta	2022-01-30	0.997957072180471	0.797384425379053	0.0060847880299251	-0.0064825436408978	-0.0005609548728179
