VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
Delta	398	2021-07-18	19	25	45580	1600.955091	2918861.322	0.629802691	0.272404266	0.005839711	0.140416501	-0.001050477	0.13893393	-0.266770225	GA1
WT	21	2020-06-14	20	40	4501	8155.869661	917739.2336	0.332227444	0.184773163	-0.012715261	0.377822311	-0.000427633	0.065816567	1	GA0
XBB	297	2023-11-12	59	27	8372	511.9701256	158748.6627	1.13997346	0.076765323	-0.370690445	0.109428999	-0.012129201	0.935210659	-0.654590903	GA9
WT	276	2020-11-29	44	2	13014	606.2963127	3945170.107	0.425784568	-0.05582346	-0.052917179	-0.069799059	-0.005198175	0.541642981	-0.23860017	GA5
BA.4/5	303	2022-11-13	31	14	20092	984.3921319	1412743.337	0.554837522	-0.034708254	0.012680792	0.040833936	-0.076451299	0.885816935	-0.056820218	GA8
BA.4/5	579	2022-12-04	34	1	16528	76.02873605	1256602.949	1.167320719	0.533493079	0.011718192	-0.470256142	0.110495443	0.928165587	1	GA9
Alpha	302	2021-02-07	13	7	15483	615.755255	1361962.659	0.210213921	0.090053257	0.009328599	0.044931014	-0.000626959	0.166337537	-0.903204911	GA1
WT	191	2020-09-20	34	11	7785	2892.731684	2047265.106	0.331912847	-0.019444769	-0.048641611	-0.530057309	-0.000805387	0.269477864	-0.002940422	GA2
XBB	1061	2023-05-14	33	10	7356	641.071191	471571.9681	1.190010028	-0.45275586	-0.209526615	0.080714344	0.0003015	0.62611683	-0.800538014	GA6
Delta	233	2021-07-25	20	10	63734	539.8897397	3440933.267	0.585622325	0.17362514	0.006027077	-0.023847592	-0.000955834	0.171144366	0.707331981	GA1
Delta	751	2021-12-05	39	15	116995	534.5163065	4169049.018	0.966483443	-0.217681984	-0.314510951	-0.227631857	0.075217219	0.826093234	0.739797482	GA8
Alpha	57	2021-01-31	12	69	19088	6187.993326	1711832.125	0.358478555	0.225052532	0.006579318	0.121104788	-0.000620395	0.144327018	-0.12644184	GA1
