"","V1","V2"
"WT_2021-08-08",-4.94800067544527,-0.764060174285708
"WT_2021-08-15",-5.17582357028876,-0.834260707451068
"WT_2021-08-22",-4.85732486148275,-0.159991660437614
"WT_2021-08-29",-5.46464673046076,-0.867326621999436
"WT_2021-09-05",-5.4541475853478,-0.86148628745153
"WT_2021-09-12",-5.43190578998128,-0.864725437772589
"WT_2021-09-19",-5.32811506240507,-0.75883781118924
"Alpha_2020-11-15",-4.47918802251797,-0.739368143063385
"Alpha_2020-11-22",-4.47698043556267,-0.724190109547314
"Alpha_2020-11-29",-4.47845954312841,-0.723872030159724
"Alpha_2020-12-06",-4.47917225129856,-0.721030826005364
"Alpha_2020-12-13",-4.47181049736967,-0.724646963194326
"Alpha_2020-12-20",-4.47176951492222,-0.726391916705678
"Alpha_2020-12-27",-4.47673260332005,-0.73271114356135
"Alpha_2021-01-03",-4.47705144120566,-0.728976053471018
"Alpha_2021-01-10",-4.48491572463152,-0.731682824976842
"Alpha_2021-01-17",-4.49269586484929,-0.732231006312403
"Alpha_2021-01-24",-4.4942766165594,-0.732582377088195
"Alpha_2021-01-31",-4.48917379557473,-0.73487155166786
"Alpha_2021-02-07",-4.48255942613888,-0.732639883228985
"Alpha_2021-02-14",-4.48204845246415,-0.732369006371656
"Alpha_2021-02-21",-4.48343113537356,-0.730346781423782
"Alpha_2021-02-28",-4.49122254544492,-0.730942876111626
"Alpha_2021-03-07",-4.49149088267264,-0.732847806471829
"Alpha_2021-03-14",-4.49256414596205,-0.735965018197702
"Alpha_2021-03-21",-4.4936309921967,-0.737127497665811
"Alpha_2021-03-28",-4.4970018465033,-0.738739088448453
"Alpha_2021-04-04",-4.50112329044076,-0.740421313051946
"Alpha_2021-04-11",-4.50224565744399,-0.743672367412293
"Alpha_2021-04-18",-4.50612792132649,-0.745772997451942
"Alpha_2021-04-25",-4.50710989167524,-0.747641758413918
"Alpha_2021-05-02",-4.50751691076213,-0.747367489025829
"Alpha_2021-05-09",-4.50897972372966,-0.746239232790002
"Alpha_2021-05-16",-4.51041473845913,-0.743260835407314
"Alpha_2021-05-23",-4.5133432795726,-0.741567763003699
"Alpha_2021-05-30",-4.51839892838787,-0.737311729252666
"Alpha_2021-06-06",-4.51844365889872,-0.733874710908948
"Alpha_2021-06-13",-4.52675544986753,-0.745633759199535
"Alpha_2021-06-20",-4.52890835284293,-0.744469800491992
"Alpha_2021-06-27",-4.53307952180817,-0.747189012934277
"Alpha_2021-07-04",-4.53626967770171,-0.741584199164558
"Alpha_2021-07-11",-4.54296518350112,-0.739004655802836
"Alpha_2021-07-18",-4.53741828444691,-0.738651469387612
"Alpha_2021-07-25",-4.53087831292773,-0.75113392629649
"Alpha_2021-08-01",-4.52577988363858,-0.739447273607083
"Alpha_2021-08-08",-4.52577877763124,-0.746954005706126
"Alpha_2021-08-15",-4.5401778041361,-0.774763052608851
"Alpha_2021-08-22",-4.56955377620817,-0.746952481897621
"Delta_2021-03-14",-5.15069229365278,0.604405358087359
"Delta_2021-03-21",-4.89341146624137,0.470521076839731
"Delta_2021-03-28",-4.86811574629551,0.470968576369876
"Delta_2021-04-04",-4.86682323286005,0.462618364168012
"Delta_2021-04-11",-4.84590536324921,0.441789833932025
"Delta_2021-04-18",-4.89916730185848,0.469314732258491
"Delta_2021-04-25",-4.81072813028849,0.445619571910954
"Delta_2021-05-02",-4.8024336329548,0.4505104703526
"Delta_2021-05-09",-4.81742806701098,0.464086562536876
"Delta_2021-05-16",-4.82746856295109,0.498646410638885
"Delta_2021-05-23",-4.77785021560455,0.499237886369884
"Delta_2021-05-30",-4.76439794189113,0.508561026665569
"Delta_2021-06-06",-4.77561622004841,0.507142519252129
"Delta_2021-06-13",-4.78138108605006,0.500342565890695
"Delta_2021-06-20",-4.78148761414562,0.483275100310569
"Delta_2021-06-27",-4.80773358908724,0.498963336448036
"Delta_2021-07-04",-4.7962493431015,0.493054054645072
"Delta_2021-07-11",-4.77448824430512,0.476713436132835
"Delta_2021-07-18",-4.80896334897705,0.479359372620059
"Delta_2021-07-25",-4.82188113249823,0.483688861874101
"Delta_2021-08-01",-4.81536036377847,0.483033217890108
"Delta_2021-08-08",-4.81667141557962,0.47941261446592
"Delta_2021-08-15",-4.77805330843327,0.469769627044656
"Delta_2021-08-22",-4.75591787880207,0.458880841773283
"Delta_2021-08-29",-4.80615808384088,0.479717289347985
"Delta_2021-09-05",-4.8117830919198,0.47557151110097
"Delta_2021-09-12",-4.82606270172871,0.47542712485478
"Delta_2021-09-19",-4.82471959818429,0.472197260631916
"Delta_2021-09-26",-4.82680589426319,0.472724966510344
"Delta_2021-10-03",-4.83080025031197,0.470797960200631
"Delta_2021-10-10",-4.82961703639292,0.467591063978844
"Delta_2021-10-17",-4.82338728392403,0.463673239220724
"Delta_2021-10-24",-4.82421784178027,0.470247808763021
"Delta_2021-10-31",-4.81667624665765,0.467196096574451
"Delta_2021-11-07",-4.81430123707595,0.463171973848303
"Delta_2021-11-14",-4.79379545852776,0.45680614966394
"Delta_2021-11-21",-4.79899315049907,0.458669914714221
"Delta_2021-11-28",-4.81419710984622,0.465121354028487
"Delta_2021-12-05",-4.81555739805763,0.462103845141205
"Delta_2021-12-12",-4.81363541698193,0.461097950458141
"Delta_2021-12-19",-4.80355312966484,0.447595850115905
"Delta_2021-12-26",-4.80662205987238,0.446110056295112
"Delta_2022-01-02",-4.79637290653603,0.448578052247741
"Delta_2022-01-09",-4.7826025570578,0.445662601648374
"Delta_2022-01-16",-4.77480655550252,0.454670274237432
"Delta_2022-01-23",-4.80281179474115,0.455292390249257
"Delta_2022-01-30",-4.80666312928007,0.460516753428484
"Delta_2022-02-06",-4.81838692159278,0.47404408638424
"BA.1_2021-11-28",0.487659126455699,1.71822793298552
"BA.1_2021-12-05",0.426098894637367,1.73271910467472
"BA.1_2021-12-12",0.420989878680374,1.7638267198537
"BA.1_2021-12-19",0.425657043225349,1.76590931127048
"BA.1_2021-12-26",0.455022673174794,1.79270114825213
"BA.1_2022-01-02",0.403370357979704,1.77838789540595
"BA.1_2022-01-09",0.449679710296935,1.81727397824981
"BA.1_2022-01-16",0.521793607761211,1.82572351446838
"BA.1_2022-01-23",0.493986872925074,1.84506689498188
"BA.1_2022-01-30",0.471350782204105,1.8578396379846
"BA.1_2022-02-06",0.498701369308931,1.85581452127638
"BA.1_2022-02-13",0.506713935907666,1.86302303547097
"BA.1_2022-02-20",0.519023189363022,1.87169527503136
"BA.1_2022-02-27",0.515835674048649,1.87941671074794
"BA.1_2022-03-06",0.52734100952312,1.88519539176131
"BA.1_2022-03-13",0.534360264232716,1.88610875254848
"BA.1_2022-03-20",0.537117208413304,1.89362590269113
"BA.1_2022-03-27",0.547053091378209,1.90055879657633
"BA.1_2022-04-03",0.553484504509391,1.90558550573669
"BA.1_2022-04-10",0.547500874533907,1.92021817276986
"BA.1_2022-04-17",0.54349363878926,1.92350965930065
"BA.1_2022-04-24",0.542767444858944,1.94095032224588
"BA.1_2022-05-01",0.554180888959591,1.9447123836242
"BA.1_2022-05-08",0.555999094034992,1.96263839096767
"BA.1_2022-05-15",0.540929484072045,1.8805672106032
"BA.2_2021-12-19",1.6462147352035,1.75131021122411
"BA.2_2021-12-26",1.7762170345725,1.62916212771654
