VOC	Date	Cases	AverageNUCMutCount	
BA.4/5	2023-02-19	94472.35892	84.50783699	0.21815848
BA.4/5	2023-02-26	72911.64983	84.80167475	0.293837756
BA.4/5	2023-03-05	48349.86164	85.05733471	0.255659964
BA.4/5	2023-03-12	35767.79295	85.33167393	0.274339216
BQ.1	2022-09-18	28863.67884	81.22164948	-0.15766086
BQ.1	2022-09-25	57678.45448	81.53856942	0.31691994
BQ.1	2022-10-02	108283.3508	81.92282697	0.384257545
BQ.1	2022-10-09	179888.1117	82.10684392	0.184016949
BQ.1	2022-10-16	262989.246	82.33660451	0.229760595
BQ.1	2022-10-23	335915.0706	82.62776506	0.291160551
BQ.1	2022-10-30	405476.7156	82.83821321	0.210448148
BQ.1	2022-11-06	524693.7393	83.16220341	0.3239902
BQ.1	2022-11-13	686683.8257	83.42200898	0.25980557
BQ.1	2022-11-20	890138.5193	83.56223583	0.140226849
BQ.1	2022-11-27	1124422.81	83.84486451	0.282628674
BQ.1	2022-12-04	1459751.732	84.1658093	0.320944795
BQ.1	2022-12-11	1725230.83	84.42551566	0.25970636
BQ.1	2022-12-18	1910797.466	84.64704172	0.22152606
BQ.1	2022-12-25	1904570.611	84.93391225	0.286870532
BQ.1	2023-01-01	1782636.011	85.34455084	0.410638585
BQ.1	2023-01-08	1423971.167	85.57470903	0.230158189
BQ.1	2023-01-15	1097497.542	85.68743888	0.112729855
BQ.1	2023-01-22	779880.9974	85.87091162	0.183472738
BQ.1	2023-01-29	529289.406	86.08298097	0.212069351
BQ.1	2023-02-05	387238.638	86.33072789	0.247746922
BQ.1	2023-02-12	292262.3242	86.62608696	0.295359062
BQ.1	2023-02-19	243056.6962	86.80799265	0.181905694
BQ.1	2023-02-26	179568.9793	87.2423164	0.434323752
BQ.1	2023-03-05	125665.3334	87.32658451	0.084268105
BQ.1	2023-03-12	95738.08303	87.64218566	0.315601157
BQ.1	2023-03-19	68285.97121	87.79128248	0.149096817
BQ.1	2023-03-26	50880.11233	87.93570608	0.144423604
BQ.1	2023-04-02	41904.99166	88.29185185	0.356145767
Delta	2021-03-21	6011.083546	38.61261261	-4.177911078
Delta	2021-03-28	5302.408284	34.41052632	-4.202086297
Delta	2021-04-04	12625.67692	34.95522388	0.544697565
Delta	2021-04-11	37093.80201	36.47162427	1.516400386
Delta	2021-04-18	68926.93871	35.87851519	-0.593109081
Delta	2021-04-25	133578.7232	36.83158585	0.95307066
Delta	2021-05-02	176312.9757	38.19375944	1.362173591
Delta	2021-05-09	293539.7998	40.22399749	2.030238057
Delta	2021-05-16	323120.0521	38.03530477	-2.188692726
Delta	2021-05-23	514049.7007	38.46837484	0.433070076
Delta	2021-05-30	827475.4127	38.70389011	0.235515269
