VOC	Date	Cases	AverageNUCMutCount
BA.4/5	2022-11-13	1413727.72884131	80.9324992726215
BA.4/5	2022-11-20	1392439.77273229	81.2879634605051
BA.4/5	2022-11-27	1353701.53373725	81.597007073128
BA.4/5	2022-12-04	1256678.97816351	81.9854736604115
BA.4/5	2022-12-11	1212619.49545684	82.1456953642384
BA.4/5	2022-12-18	1169667.76947679	82.284486623823
BA.4/5	2022-12-25	1038182.9897723	82.6963479688141
BA.4/5	2023-01-01	782945.822292994	82.9688460750154
BA.4/5	2023-01-08	695757.225550161	83.2734184914842
BA.4/5	2023-01-15	548113.814551126	83.3818509782156
BA.4/5	2023-01-22	398941.561108718	83.6526371870005
BA.4/5	2023-01-29	245434.079984507	83.805246986528
BA.4/5	2023-02-05	175977.395700254	84.0129577464789
BA.4/5	2023-02-12	125486.593487011	84.2896785109983
BA.4/5	2023-02-19	94472.3589247658	84.5078369905956
BA.4/5	2023-02-26	72911.6498260921	84.8016747465844
BA.4/5	2023-03-05	48349.8616363636	85.0573347107438
BA.4/5	2023-03-12	35767.7929529979	85.3316739265713
BQ.1	2022-09-11	16122.5036888179	81.3793103448276
BQ.1	2022-09-18	28863.67883937	81.2216494845361
BQ.1	2022-09-25	57678.4544804641	81.5385694249649
BQ.1	2022-10-02	108283.350782428	81.9228269699431
BQ.1	2022-10-09	179888.111700433	82.1068439192516
BQ.1	2022-10-16	262989.245990302	82.3366045142296
BQ.1	2022-10-23	335915.070569971	82.627765064836
BQ.1	2022-10-30	405476.715568078	82.8382132132132
BQ.1	2022-11-06	524693.739253455	83.1622034133481
BQ.1	2022-11-13	686683.825716914	83.4220089832585
BQ.1	2022-11-20	890138.519317053	83.5622358319676
BQ.1	2022-11-27	1124422.80968425	83.8448645056487
BQ.1	2022-12-04	1459751.73215194	84.1658093011172
BQ.1	2022-12-11	1725230.83046441	84.4255156608098
BQ.1	2022-12-18	1910797.46639348	84.6470417211804
BQ.1	2022-12-25	1904570.61134736	84.9339122532438
BQ.1	2023-01-01	1782636.01082803	85.3445508385454
BQ.1	2023-01-08	1423971.16703449	85.5747090279962
BQ.1	2023-01-15	1097497.54170057	85.6874388834563
BQ.1	2023-01-22	779880.997351078	85.8709116214335
BQ.1	2023-01-29	529289.406023046	86.0829809725159
BQ.1	2023-02-05	387238.637955904	86.3307278944797
BQ.1	2023-02-12	292262.324185876	86.6260869565217
BQ.1	2023-02-19	243056.696215906	86.8079926504364
BQ.1	2023-02-26	179568.979307905	87.2423164024588
BQ.1	2023-03-05	125665.333393939	87.3265845070423
BQ.1	2023-03-12	95738.0830303431	87.6421856639248
BQ.1	2023-03-19	68285.9712143716	87.79128248114
BQ.1	2023-03-26	50880.1123341595	87.9357060849598
BQ.1	2023-04-02	41904.9916557592	88.2918518518518
Alpha	2020-11-15	126097.254554691	34.9515859766277
Alpha	2020-11-22	131953.786738729	35.0863930885529
Alpha	2020-11-29	163093.708112094	35.546468401487
Alpha	2020-12-06	129480.350865601	35.412017167382
Alpha	2020-12-13	406447.478690471	35.6193518941123
Alpha	2020-12-20	756443.204935622	35.8784847839966
Alpha	2020-12-27	705069.24252196	36.2117213869285
Alpha	2021-01-03	972971.396736667	36.4458664821861
Alpha	2021-01-10	1062556.56109994	36.8679337231969
Alpha	2021-01-17	1309693.4211734	36.9876612450925
Alpha	2021-01-24	1388023.74711419	37.2869201770202
Alpha	2021-01-31	1718020.11803776	37.2905010438413
Alpha	2021-02-07	1362578.41438773	37.6704325371207
Alpha	2021-02-14	1349100.53735958	37.8270485120261
Alpha	2021-02-21	1462569.65913504	38.0294911649215
Alpha	2021-02-28	1562511.61537436	38.3997596918401
Alpha	2021-03-07	1780565.98256153	38.8824565265243
Alpha	2021-03-14	2094066.4486692	39.3310358655605
Alpha	2021-03-21	2470338.7217702	39.6592871860068
Alpha	2021-03-28	2811686.60525052	39.7493329588541
Alpha	2021-04-04	3063705.30493226	39.6744572236915
Alpha	2021-04-11	3422647.28878239	39.9152283618167
Alpha	2021-04-18	3964621.50186109	40.1233150862323
Alpha	2021-04-25	4296900.21208928	40.3468782807386
Alpha	2021-05-02	4334293.56211388	40.3574450521102
Alpha	2021-05-09	4046168.81582637	40.465664845173
Alpha	2021-05-16	3681793.5304294	40.5688221586696
Alpha	2021-05-23	2960306.31649416	40.8197440926497
Alpha	2021-05-30	2196052.62920586	41.1362090779693
Alpha	2021-06-06	1562650.21719441	41.297293002066
Alpha	2021-06-13	1225371.03842748	41.512850773669
Alpha	2021-06-20	976889.971418673	41.7169689715496
Alpha	2021-06-27	638477.48014761	41.840086996337
Alpha	2021-07-04	443679.134751109	41.8847792998478
Alpha	2021-07-11	364454.658787134	41.6273172437915
Alpha	2021-07-18	286378.846734378	41.514738722644
Alpha	2021-07-25	193334.515783646	41.2640825432236
Alpha	2021-08-01	142277.724449304	40.9014954486346
Alpha	2021-08-08	69988.3732998919	41.1752380952381
Alpha	2021-08-15	122153.237913762	40.8408
Alpha	2021-08-22	29414.8368683752	41.4420654911839
Delta	2021-03-14	21048.7954558668	42.7905236907731
Delta	2021-03-21	6011.08354596954	38.6126126126126
Delta	2021-03-28	5302.40828354998	34.4105263157895
