VOC	Date	Cases	HaploNum	HaploNumPer100Seq
BA.2	2022-11-13	135353.918134862	503	0.261298701298701
BA.2	2022-11-20	174700.08323045	545	0.240299823633157
BA.2	2022-11-27	195323.834973647	531	0.226246271836387
BA.2	2022-12-04	223676.541457864	619	0.210401087695445
BA.2	2022-12-11	284353.547627461	703	0.217714462681945
BA.2	2022-12-18	325206.597921143	748	0.213348545350827
BA.2	2022-12-25	321358.394627766	738	0.221024258760108
BA.2	2023-01-01	336027.82611465	744	0.21863062004114
BA.2	2023-01-08	327256.942430166	818	0.224109589041096
BA.2	2023-01-15	272347.409547057	687	0.246413199426112
BA.2	2023-01-22	201008.650517816	592	0.266426642664266
BA.2	2023-01-29	165652.257577225	652	0.27545416138572
BA.2	2023-02-05	143849.528264304	641	0.281263712154454
BA.2	2023-02-12	124445.690868224	613	0.284851301115242
BA.2	2023-02-19	117838.895037519	617	0.2926944971537
BA.2	2023-02-26	111028.531509757	551	0.289238845144357
BA.2	2023-03-05	100853.491454545	581	0.319055464030752
BA.2	2023-03-12	62114.1010114365	379	0.344232515894641
BA.2	2023-03-19	67079.9111676922	397	0.339897260273973
BA.2	2023-03-26	57025.9098751033	316	0.327461139896373
BA.2	2023-04-02	61308.9621509599	298	0.307216494845361
BA.2	2023-04-09	50026.1769488283	251	0.350558659217877
BA.2	2023-04-16	44484.268633779	254	0.373529411764706
BA.2	2023-04-23	39816.4788206388	215	0.373263888888889
BA.2	2023-04-30	37699.9981623679	171	0.301056338028169
BA.2.86	2023-10-01	1435.81537692836	24	0.244897959183673
BA.2.86	2023-10-08	2422.52392979729	38	0.24203821656051
BA.2.86	2023-10-15	3208.05187816166	50	0.256410256410256
BA.2.86	2023-10-22	4135.93662950032	68	0.267716535433071
BA.2.86	2023-10-29	6296.05161449	98	0.240786240786241
BA.2.86	2023-11-05	9092.04654687162	116	0.213627992633518
BA.2.86	2023-11-12	15795.2264682079	155	0.186074429771909
BA.2.86	2023-11-19	27868.891421891	244	0.198051948051948
BA.2.86	2023-11-26	51030.7330086809	333	0.169551934826884
BA.2.86	2023-12-03	87073.3768815677	487	0.150308641975309
BA.2.86	2023-12-10	139812.091733427	677	0.141483803552769
BA.2.86	2023-12-17	188081.719091674	830	0.13237639553429
BA.2.86	2023-12-24	202748.233067322	850	0.142737195633921
BA.2.86	2023-12-31	188161.176865046	906	0.137148047229791
BA.2.86	2024-01-07	160719.693015031	990	0.140445453255781
BA.2.86	2024-01-14	138584.882483722	1010	0.150074294205052
BA.2.86	2024-01-21	121909.305386796	973	0.155555555555556
BA.2.86	2024-01-28	101765.516456475	915	0.159102764736568
BA.2.86	2024-02-04	90454.6261758028	952	0.168346595932803
BA.2.86	2024-02-11	79526.9500607456	825	0.17173189009159
BA.2.86	2024-02-18	72235.7003065315	756	0.191634980988593
BA.2.86	2024-02-25	67778.9136253041	669	0.198693198693199
BA.2.86	2024-03-03	61983.9930769231	533	0.215092816787732
BA.2.86	2024-03-10	56412.3076258371	407	0.274443695212407
BA.2.86	2024-03-17	49523.950294861	309	0.271290605794557
BA.2.86	2024-03-24	67705.2797619048	206	0.290550070521862
BA.4/5	2022-04-17	19622.3178867773	34	0.169154228855721
BA.4/5	2022-04-24	24019.9322504031	41	0.14041095890411
BA.4/5	2022-05-01	50240.7764796016	89	0.135258358662614
BA.4/5	2022-05-08	72317.2225710442	130	0.132517838939857
BA.4/5	2022-05-15	119607.534564761	231	0.120689655172414
BA.4/5	2022-05-22	200322.99451589	325	0.102945834653152
BA.4/5	2022-05-29	338581.963346918	515	0.0881396542871812
BA.4/5	2022-06-05	619178.594770324	834	0.0774157616262879
BA.4/5	2022-06-12	1024139.49049292	1221	0.0668345284361487
BA.4/5	2022-06-19	1837281.484532	1869	0.0670950603101666
BA.4/5	2022-06-26	2839656.8177721	2447	0.0646533502430776
BA.4/5	2022-07-03	3968583.4213544	3270	0.0652994388641492
BA.4/5	2022-07-10	5007867.38769459	3706	0.0631259794235879
BA.4/5	2022-07-17	5888834.69589356	4096	0.0630668083206307
BA.4/5	2022-07-24	6426862.70677657	4330	0.0697779353466336
BA.4/5	2022-07-31	6598038.34011511	4092	0.0761019155663009
BA.4/5	2022-08-07	6238729.54414467	4059	0.0813753007217322
BA.4/5	2022-08-14	5701967.496455	3893	0.0881966470321704
BA.4/5	2022-08-21	4993473.42598092	3932	0.0887524546870415
BA.4/5	2022-08-28	4507826.1337155	3887	0.0883690265084345
BA.4/5	2022-09-04	3794400.93300025	3764	0.0960620677334558
BA.4/5	2022-09-11	3291693.36874415	3755	0.106310693355228
BA.4/5	2022-09-18	2901323.15794704	4069	0.104871134020619
BA.4/5	2022-09-25	2831331.13181556	3921	0.113622533252195
BA.4/5	2022-10-02	2687460.17456175	3676	0.120909120810446
BA.4/5	2022-10-09	2551189.0438188	3531	0.123194473518945
BA.4/5	2022-10-16	2358430.84504124	3588	0.131524926686217
BA.4/5	2022-10-23	2077080.57170104	3423	0.141364499876105
BA.4/5	2022-10-30	1769610.22725287	3409	0.147352496217852
BA.4/5	2022-11-06	1521144.54075525	3092	0.148418374693995
BA.4/5	2022-11-13	1413727.72884131	3172	0.157763851586591
BA.4/5	2022-11-20	1392439.77273229	2995	0.165680146041932
BA.4/5	2022-11-27	1353701.53373725	2736	0.16820361490225
BA.4/5	2022-12-04	1256678.97816351	2860	0.173029221368504
BA.4/5	2022-12-11	1212619.49545684	2486	0.180537400145243
BA.4/5	2022-12-18	1169667.76947679	2309	0.183108643933386
BA.4/5	2022-12-25	1038182.9897723	1979	0.183461574116993
BA.4/5	2023-01-01	782945.822292994	1560	0.196746121831252
BA.4/5	2023-01-08	695757.225550161	1543	0.198840206185567
BA.4/5	2023-01-15	548113.814551126	1234	0.219925147032615
BA.4/5	2023-01-22	398941.561108718	1070	0.242630385487528
BA.4/5	2023-01-29	245434.079984507	836	0.238380382092957
BA.4/5	2023-02-05	175977.395700254	768	0.275466284074605
BA.4/5	2023-02-12	125486.593487011	587	0.270506912442396
BA.4/5	2023-02-19	94472.3589247658	481	0.284615384615385
BA.4/5	2023-02-26	72911.6498260921	382	0.305355715427658
BA.4/5	2023-03-05	48349.8616363636	274	0.313860252004582
BA.4/5	2023-03-12	35767.7929529979	190	0.299684542586751
BQ.1	2022-09-11	16122.5036888179	25	0.144508670520231
BQ.1	2022-09-18	28863.67883937	64	0.16580310880829
BQ.1	2022-09-25	57678.4544804641	96	0.136557610241821
BQ.1	2022-10-02	108283.350782428	152	0.124081632653061
BQ.1	2022-10-09	179888.111700433	224	0.110836219693221
BQ.1	2022-10-16	262989.245990302	374	0.122945430637738
BQ.1	2022-10-23	335915.070569971	463	0.118232890704801
BQ.1	2022-10-30	405476.715568078	656	0.123750235804565
BQ.1	2022-11-06	524693.739253455	846	0.117728917339271
BQ.1	2022-11-13	686683.825716914	1112	0.11386442760598
BQ.1	2022-11-20	890138.519317053	1317	0.113966770508827
BQ.1	2022-11-27	1124422.80968425	1602	0.11857005403005
BQ.1	2022-12-04	1459751.73215194	2244	0.116875
BQ.1	2022-12-11	1725230.83046441	2313	0.11806441733449
BQ.1	2022-12-18	1910797.46639348	2612	0.126796116504854
BQ.1	2022-12-25	1904570.61134736	2555	0.129112133003184
BQ.1	2023-01-01	1782636.01082803	2430	0.134603666980557
BQ.1	2023-01-08	1423971.16703449	2319	0.146014355874575
